Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A040120,ORG_B040120,ORG_C040120,ORG_D040120,ORG_E040120,ORG_F040120,ORG_G040120,ORG_H040120,ORG_I040120,ORG_J040120,ORG_K040120,ORG_L040120,ORG_M040120,ORG_N040120,ORG_O040120,ORG_P040120,ORG_R040120,ORG_S040120,ORG_T040120,ORG_U040120,FIPS_ST_CNTY_CD,Month
48293,Limestone County,"Limestone County, Texas",0,48,293,,2,0,,,,0,0,0,1,100,0,,0,,0,,0.01,0,8.51,0,48293,April
48295,Lipscomb County,"Lipscomb County, Texas",0,48,295,,,,,,,,,,,,,,,,,,,,,,48295,April
48297,Live Oak County,"Live Oak County, Texas",0,48,297,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,8.25,0,48297,April
48299,Llano County,"Llano County, Texas",0,48,299,,3,0,,,,0,0,0,2,200,0,,0,,0,,0.01,0,14.53,0,48299,April
48301,Loving County,"Loving County, Texas",0,48,301,,,,,,,,,,,,,,,,,,,,,,48301,April
48303,Lubbock County,"Lubbock County, Texas",0,48,303,,100,2,,,,23,29.87,100,88,733.33,0,,2,,0,,0.03,0,33.17,0.66,48303,April
48305,Lynn County,"Lynn County, Texas",0,48,305,,2,0,,,,0,0,0,0,,0,,0,,0,,0.03,0,34.44,0,48305,April
48307,McCulloch County,"McCulloch County, Texas",0,48,307,,,,,,,,,,,,,,,,,,,,,,48307,April
48309,McLennan County,"McLennan County, Texas",0,48,309,,48,1,,,,9,23.08,0,25,108.7,0,,1,,0,,0.02,0,19.32,0.4,48309,April
48311,McMullen County,"McMullen County, Texas",0,48,311,,,,,,,,,,,,,,,,,,,,,,48311,April
48313,Madison County,"Madison County, Texas",0,48,313,,,,,,,,,,,,,,,,,,,,,,48313,April
48315,Marion County,"Marion County, Texas",0,48,315,,,,,,,,,,,,,,,,,,,,,,48315,April
48317,Martin County,"Martin County, Texas",0,48,317,,1,0,,,,0,0,0,0,,0,,0,,0,,0.02,0,17.81,0,48317,April
48319,Mason County,"Mason County, Texas",0,48,319,,,,,,,,,,,,,,,,,,,,,,48319,April
48321,Matagorda County,"Matagorda County, Texas",0,48,321,,29,2,,,,2,7.41,0,23,383.33,0,,1,100,0,,0.08,0.01,78.93,5.44,48321,April
48323,Maverick County,"Maverick County, Texas",0,48,323,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,1.73,0,48323,April
48325,Medina County,"Medina County, Texas",0,48,325,,3,0,,,,0,0,0,2,200,0,,0,,0,,0.01,0,6.08,0,48325,April
48327,Menard County,"Menard County, Texas",0,48,327,,,,,,,,,,,,,,,,,,,,,,48327,April
48329,Midland County,"Midland County, Texas",0,48,329,,16,1,,,,3,23.08,0,13,433.33,0,,0,0,0,,0.01,0,9.74,0.61,48329,April
48331,Milam County,"Milam County, Texas",0,48,331,,2,0,,,,0,0,0,0,0,0,,0,,0,,0.01,0,8.11,0,48331,April
48333,Mills County,"Mills County, Texas",0,48,333,,,,,,,,,,,,,,,,,,,,,,48333,April
